MAIN_ID,RA,DEC,SP_TYPE,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,2MASS_FLAG,A_K,W1,A_W1,W2,A_W2,F9,F9_FLAG,W3,A_W3,F18,F18_FLAG,W4,WISE_FLAG,A_W4,25,60,100,450,850,890,1300,2600,2700,7000,13000,36000
 lkh 225,20 20 30,+41 21 26,A4:Ve,,7.774712676,16.82,6.607828169,15.09,4.991,,3.739735211,,2.390056338,14.302,1.405915493,12.242,0.877291268,10.022,ccc ,0.537059718,1.91,0.263374836,0.304,0.162764594,38.729999,3,-1.691,0.136050442,79.529999,3,-3.159,HHHH ,0.088786938,,,,10.2,2.05,,,,0.024,,,
 v1578 cyg,21 52 34,+47 13 43,A0,9.52,0.386321127,9.97,0.328338028,9.89,0.248,9.74,0.185825352,9.5,0.118760563,8.44,0.069859155,7.54,0.043592113,6.58,000,0.026686197,5.389,0.013086948,4.552,0.008087682,      null|, null,3.493,0.00676027,      null|,null,2.01,hh00 ,0.004411773,1.8,2.6,,,,,,,0.02,,,
 v1685 cyg,20 20 28,+41 21 51,B4,11.2,4.58756338,11.48,3.899014085,10.69,2.945,9.63,2.206676056,8.8,1.41028169,7.904,0.829577465,6.792,0.517656338,5.766,000,0.316898592,  null ,0.155407512,  null ,0.09604122,23.77,3,  null ,0.080278211,24.219999,3,-1.338,dddd ,0.052389808,,,,,,,,,0.22,,,
 v1686 cyg,20 20 29,+41 21 28,F8,16.26,4.056371831,15.42,3.447549296,14.06,2.604,12.64,1.951166197,11.58,1.246985915,9.378,0.733521127,7.691,0.457717183,6.345,000,0.28020507,  null|,0.137412958,  null|,0.084920658,      null|, null,  null|,0.070982839,      null|,null,  null|,null|,0.04632362,119,474,880,,,,,,0.0003,,,
 vv ser,18 28 47,+00 08 39,B6,13.32,5.263625352,12.88,4.473605634,11.92,3.379,10.84,2.531870423,10.15,1.618112676,8.673,0.951830986,7.435,0.593942535,6.321,000,0.363599437,5.179,0.178309671,4.144,0.110194663,4.261,3,2.354,0.092108685,3.259,3,0.988,0h00 ,0.060110411,3.9,5.7,26.9,,,,,,0.02,,,
 vx cas,00 31 30,+61 58 50,A0Vep,11.83,5.263626089,11.59,4.47360626,10.5,3.379000473,11.19,2.531870777,10.94,1.618112903,10.145,0.951831119,9.171,0.593942618,8.214,c00 ,0.363599488,7.115,0.178309696,6.564,0.110194678,0.7554,3,4.157,0.092108697,1.327,3,1.832,0000,0.06011042,,,,,,,,,,,,
 vy mon,06 31 06,+10 26 04,A5:Vep,15.98,7.146940845,15.09,6.074253521,13.47,4.588,11.64,3.437769014,10.49,2.197070423,8.074,1.292394366,6.696,0.806454085,5.457,000,0.493694648,3.646,0.242108545,0.526,0.149622111, ,0,-0.191,0.125065003,56.220001,3,-2.313,HHHH ,0.081617806,,,,10.925,2.215,,,,,,,
 ww vul,19 25 58,+21 12 31,A2IVe,11.56,1.641864789,11.14,1.39543662,10.74,1.054,10.34,0.789757746,9.59,0.504732394,9.092,0.296901408,8.181,0.185266479,7.278,000,0.113416338,6.574,0.055619531,5.907,0.034372647,1.502,3,3.322,0.028731149,1.786,3,1.56,pp00 ,0.018750037,,,,,,,,,,,,
 HBC 324     ,00 07 30,+65 39 52,A7,11.33,0.676061972,11.1,0.574591549,10.77,0.434,,0.325194366,,0.207830986,12.92,0.122253521,12.014,0.076286197,11.004,000,0.046700845,9.067,0.02290216,7.704,0.014153443,0.5359,3,4.16,0.011830473,1.551,3,1.438,0hhh ,0.007720603,,,,,,,,,,,,
 RNO 6      ,02 16 30, +55 22 57,B3,,3.670049231,15.09,3.119210015,14.52,2.355999054,13.74,1.765340136,,1.128224899,12.272,0.663661705,11.789,0.414124904,11.419,000,0.253518771,9.94,0.124325959,9.25,0.076832945,      null|, null,4.9,0.064222543,      null|,null,2.169,hhdd ,0.041911829,,,,,,,,,,,,
 HD 278937,03 40 46,+32 31 53,A3,10.95,1.15896338,10.8,0.985014085,10.47,0.744,10.13,0.557476056,9.87,0.35628169,9.139,0.209577465,8.409,0.130776338,7.589,000,0.080058592,6.591,0.039260845,5.963,0.024263045,0.3827,3,5.194,0.020280811,0.6413,3,2.244,0000,0.01323532,,,,,,,,,,,,
 HD 275877,03 49 36,+38 58 55,A2,10.17,2.076476056,9.7,1.764816901,9.21,1.333,8.72,0.998811268,8.39,0.638338028,7.654,0.375492958,6.917,0.234307606,6.092,000,0.14343831,4.971,0.070342347,4.122,0.043471289,4.302,3,2.574,0.036336454,3.404,3,0.969,0000,0.023713281,,,,,,,,,,,,
 V892 Tau   ,04 18 40,+28 19 15,B8,,7.195230986,16.65,6.115295775,15.25,4.619,13.12,3.460997183,,2.211915493,8.55,1.301126761,6.91,0.811903099,5.94,000,0.497030423,5.144,0.243744413,4.104,0.150633071,17.35,3,-0.21,0.125910037,61.650002,3,-2.51,HHHH ,0.082169278,,,,23.195,0.34,,,,0.042,0.0058,0.0011,0.00048
 HD 31648 ,04 58 46,+29 50 36,A5Vep,7.8400002,0.096581847,7.7800002,0.082085838,7.6199999,0.062001005,7.7600002,0.046457091,7.4299998,0.029690622,6.865,0.017465072,6.262,0.010898205,5.527,000,0.006671657,4.868,0.00327179,3.926,0.002021953,9.118,3,1.665,0.001690095,8.07,3,0.056,0000,0.001102961,,,,2.67,0.66,,,,0.0399,,,
 V1012 Ori  ,05 11 36,-02 22 48,A3e,,1.859170423,12.698,1.580126761,12.223,1.1935,,0.894284507,,0.571535211,10.558,0.336197183,9.676,0.209787042,8.833,000,0.128427324,7.936,0.062980939,7.277,0.038921968,0.2944,3,5.152,0.032533801,0.8722,3,2.087,0000,0.021231659,,,,,,,,,,,,
 HD 34282 ,05 16 00,-09 48 35,A3,10.19,1.110672274,10.16,0.94397101,9.8400002,0.71299938,9.7700005,0.534247423,9.6300001,0.341436323,9.256,0.200844896,8.475,0.125327215,7.678,000,0.07672275,6.79,0.037624944,6.271,0.023252065,0.7356,3,4.428,0.019435761, ,0,0.012683837,0000,0.017647076,,,,2.7,0.36,,,,,,,
 HD 287841,05 24 42,+01 43 48,A8,10.55,0.241450704,10.45,0.205211268,10.17,0.155,9.9899998,0.116140845,9.8000002,0.074225352,9.699,0.043661972,9.188,0.02724507,8.561,000,0.016678873,7.31,0.008179343,6.754,0.005054801, ,0,5.175,0.004225169,0.5896,3,2.233,0000,0.002757358,,,,,,,,,,,,
 HD 35929 ,05 27 42,-08 19 38,F2III,,0.434613847,8.5500002,0.369382474,8.1099997,0.279001656,8.1000004,0.209054762,,0.133606427,7.211,0.078592016,6.974,0.049041418,6.673,000,0.03002215,6.15,0.014722904,5.467,0.009098696, ,0,4.213,0.007605349,0.4686,3,3.391,0000,0.004963274,,,,,,,,,,,,
 HD 36112   ,05 30 27,+25 19 57,A5,,0.77263839,8.5699997,0.656672773,8.2700005,0.49599752,8.3000002,0.371648846,,0.237519939,7.221,0.139717611,6.56,0.087183789,5.804,000,0.053372128,4.684,0.026173766,3.865,0.016175283,4.686,3,2.163,0.013520473,6.302,3,-0.181,0000,0.008823502,,,,1.35,0.1735,,,,0.0059,,,
 HD 244604 ,05 31 57,+11 17 41,A4,,0.289737948,9.6099997,0.246251059,9.4300003,0.18599814,9.3999996,0.13936762,,0.089069532,8.613,0.052393842,7.956,0.032693758,7.123,000,0.020014448,6.54,0.009815113,5.773,0.006065701, ,0,3.405,0.005070152,1.448,3,1.598,0000,0.003308797,,,,,,,,,,,,
 HD 37258  ,05 36 59,-06 09 16,A1,,0.627770865,9.9300003,0.533548475,9.7700005,0.40299938,9.6999998,0.301965733,,0.192985619,8.953,0.113520952,8.406,0.070837074,7.69,000,0.043365004,6.692,0.021266258,6.036,0.013142463,1.749,3,3.56,0.010985423,1.622,3,1.946,0000,0.007169121,,,,,,,,,,,,
 HD 37357 ,05 37 47,-06 42 30,A0e,,0.482898645,8.9499998,0.410420187,8.8500004,0.309998226,,0.232280361,,0.148449855,8.405,0.087323444,7.947,0.054489829,7.368,000,0.033357556,6.647,0.016358592,5.952,0.010109544,1.513,3,3.416,0.00845029,1.671,3,1.494,0000,0.005514685,,,,,,,,,,,,
 V1787 Ori   ,05 38 09,-06 49 16,A5e,,6.615750401,15.26,5.622789672,13.75,4.24700071,,3.182259687,,2.033774988,9.938,1.196338228,8.969,0.746515054,7.978,000,0.457001203,6.489,0.224114028,5.668,0.138501572,2.027,3,3.095,0.11576965,2.493,3,1.343,0000,0.07555163,,,,,,,,,,,,
 HD 37411 ,05 38 14,-05 25 13,B9Ve,10.03,0.869221983,9.9099998,0.738760094,9.79,0.557999645,9.6000004,0.418106776,9.4499998,0.267211098,9.047,0.157182999,8.361,0.098082191,7.579,000,0.060043905,6.489,0.029445615,5.876,0.018197272,0.6662,3,4.211,0.015210599, ,0,1.503,0000,0.009926484,,,,,,,,,,,,
 V599 Ori   ,05 38 58,-07 16 45,F0,,6.664039437,15.39,5.663830986,13.7,4.278,,3.205487324,,2.048619718,9.624,1.205070423,8.595,0.751963944,7.589,000,0.460336901,6.693,0.225749859,6.019,0.139512509,0.6746,3,4.302,0.116614665,1.95,3,1.047,0000,0.076103089,,,,,,,,,,,,
 V350 Ori   ,05 40 11,-09 42 11,A1,12.26,2.028185915,11.92,1.723774648,11.47,1.302,11.03,0.975583099,10.62,0.623492958,10.017,0.366760563,9.236,0.228858592,8.371,000,0.140102535,7.392,0.068706479,6.809,0.042460329,0.5563,3,4.324,0.03549142,1.008,3,2.132,0000,0.02316181,,,,,,,,,,,,
 HD 37806     ,05 41 02,-02 43 00,B9,,0.434611268,7.957,0.369380282,7.927,0.279,7.92,0.209053521,,0.133605634,7.115,0.078591549,6.252,0.049041127,5.4,000,0.030021972,4.576,0.014722817,3.522,0.009098642,8.745,3,1.377,0.007605304,8.34,3,0.026,HHHH ,0.004963245,,,,,,,,,,,,
 HD 52721 ,07 01 49,-11 18 03,B2Vne,5.8800001,1.352123667,6.6500001,1.149182864,6.5900002,0.867999823,,0.650388599,,0.415661887,6.243,0.244506992,6.156,0.152572363,6.038,000,0.093401671,6.04,0.04580431,5.631,0.02830688,0.1159,3,5.071,0.023660942, ,0,2.483,0000,0.015441203,5.4,24.6,,,,,,,,,,
 NX Pup     ,07 19 28,-44 35 11,A1e/F2IIIe,,2.173058733,10.47,1.846903444,9.9899998,1.395001537,,1.045268758,,0.668028905,8.579,0.39295818,7.285,0.245205904,6.08,000,0.150110025,4.587,0.073614166,3.503,0.04549326,5.197,3,2.011,0.038026563,4.652,3,0.597,0h0h ,0.024816252,9.1,14.1,42.2,,,,,,,,,
 V388 Vel,08 42 16, -40 44 10,Ae,,5.548537183,15.976,4.71575493,14.687,3.5619,,2.66891662,,1.705698592,11.552,1.003352113,10.066,0.626091718,8.824,000,0.383280507,6.724,0.187961296,5.796,0.116159328,3.775,3,2.239,0.097094384,6.73,3,-0.388,hhhh ,0.063364094,,,,,,,,,,,,
 HD 76534 ,08 55 08,-43 27 59,B2Vne,7.04,1.641864236,7.6199999,1.39543615,7.5,1.053999645,,0.789757481,,0.504732224,7.818,0.296901309,7.858,0.185266417,7.804,000,0.1134163,7.27,0.055619512,7.138,0.034372636,0.1179,3,6.28,0.02873114, ,0,4.283,0000,0.01875003,0.7,21,70.2,,,,,,,,,
 HD 85567 ,09 50 28,-60 58 02,B2Ve,8.1599998,1.545286349,8.6700001,1.313353678,8.5699997,0.992001183,,0.743302295,,0.47504282,7.472,0.279436953,6.68,0.174368659,5.774,ss0 ,0.106744916,4.603,0.052347856,3.599,0.032350765,5.968,3,1.791,0.027041114,5.179,3,0.46,hhp0 ,0.017647114,,,,,,,,,,,,
 HD 94509 ,10 53 27,-58 25 24,B8e,,0.482897908,9.1499996,0.410419561,9.1400003,0.309997753,,0.232280007,,0.148449628,9.044,0.087323311,8.99,0.054489746,8.929,000,0.033357505,8.549,0.016358567,8.382,0.010109529,      null|, null,7.616,0.008450277,      null|,null,6.05,dddd ,0.005514677,,,,,,,,,,,,
 HD 95881 ,11 01 57,-71 30 48,A1/A2III/IV,,0.531193207,8.3699999,0.451466198,8.2299995,0.341001064,8.1999998,0.255510657,,0.163296284,7.384,0.096056638,6.662,0.059939342,5.734,000,0.036693636,4.506,0.01799461,3.469,0.011120597,6.31,3,1.693,0.009295401,5.074,3,0.523,0h00 ,0.006066207,,,,,,,,,,,,
 HD 97048 ,11 08 03,-77 39 17,A0Vep,,1.492165352,8.764,1.268205634,8.455,0.9579,8.27,0.717750423,,0.458712676,7.267,0.269830986,6.665,0.168374535,5.941,000,0.103075437,4.474,0.050548338,4.467,0.031238671,6.046,3,1.34,0.026111545,17.18,3,-1.32,hhhd ,0.017040474,48.3,77,86.1,,,,,,,,,
 HD 98922 ,11 22 31,-53 22 11,B9,,0.478072394,6.802,0.40631831,6.763,0.3069,6.74,0.229958873,,0.146966197,6.004,0.086450704,5.226,0.053945239,4.28,dd0 ,0.033024169,2.479,0.016195099,0.824,0.010008506,26.58,3,0.06,0.008365835,21.530001,3,-1.06,HHHH ,0.005459569,,,,,,,,,,,,
 HD 100546,11 33 25,-70 11 41,B9Vne,,2.269635883,6.71,1.928985289,6.3000002,1.456999527,6.6999998,1.091723589,6.6399999,0.697718083,6.425,0.410422402,5.962,0.256103579,5.418,000,0.156781358,4.203,0.076885797,3.455,0.047515115,38.470001,3,-0.397,0.039716576,158.5,3,-3.227,HHHH ,0.02591916,,,,,,,,,,,,
 HD 101412,11 39 44,-60 10 27,A0V,,0.854735714,9.4650002,0.726448075,9.2880001,0.548700142,9.3000002,0.411138698,,0.262757814,8.635,0.15456342,8.217,0.096447574,7.466,000,0.059043227,6.126,0.028954881,4.994,0.017894,2.344,3,2.869,0.014957102,2.51,3,1.325,0h00 ,0.009761051,,,,,,,,,,,,
 HD 104237,12 00 05,-78 11 34,A4IVe,,0.434611452,6.8099999,0.369380438,6.5999999,0.279000118,6.5999999,0.20905361,,0.13360569,5.813,0.078591583,5.246,0.049041148,4.585,000,0.030021985,3.803,0.014722823,2.848,0.009098646,13.479999,3,0.927,0.007605307,13,3,-0.518,hhhh ,0.004963247,,,,,,,,,,,,
 Hen 3-847   ,13 01 17,-48 53 18,B5e,,1.014091484,10.65,0.861886071,10.58,0.650999054,,0.48779084,,0.311746026,10.177,0.183380015,9.424,0.114429129,7.805,000,0.070051166,5.221,0.03435319,3.299,0.021230134,26.82,3,0.137,0.017745684,34.5,3,-1.665,0000,0.011580888,,,,,,,,,,,,
 CPD-61 3587B ,13 19 04, -62 34 10,B0,,2.569035493,11.001,2.183447887,10.769,1.6492,10.63,1.235738592,,0.789757746,10.016,0.46456338,9.92,0.289887549,9.799,000,0.177463211,8.644,0.087028207,8.461,0.053783083,      null|, null,5.006,0.044955798,      null|,null,1.118,hhdd ,0.029338292,,,,,,,,,,,,
 HD 130437,14 50 50,-60 17 10,B1Ve,10.2,3.959793576,10.54,3.365466511,9.9799995,2.542001301,,1.904710834,,1.217296398,7.943,0.716056704,7.62,0.446819384,7.276,000,0.273533661,6.747,0.134141289,6.434,0.08289878,0.2825,3,5.653,0.069292807, ,0,4.395,hhdp ,0.045220699,,,,,,,,,,,,
 SS73 44    ,15 03 23,-63 22 58,B6,,3.042278873,13.63,2.585661972,13.13,1.953,,1.463374648,,0.935239437,9.75,0.550140845,8.747,0.343287887,7.822,000,0.210153803,6.483,0.103059718,5.446,0.063690493,1.715,3,2.95,0.05323713,3.733,3,0.609,0h00 ,0.034742715,,,,,,,,,,,,
 HD 132947,15 04 56,-63 07 52,B9V,,0.579483716,9,0.492508764,8.9399996,0.372001301,,0.278739003,,0.178141468,8.735,0.104789099,8.664,0.065388398,8.623,ddc,0.040029436,5.955,0.019630491,5.724,0.012131565,0.512,3,4.653,0.010140441,0.3588,3,3.567,hh00 ,0.006617683,,,,,,,,,,,,
 HD 141569,15 49 57,-03 55 16,A0Ve,7.2199998,0.386320758,7.1999998,0.328337715,7.1199999,0.247999763,7,0.185825175,7.04,0.11876045,6.872,0.069859088,6.861,0.043592071,6.821,000,0.026686172,6.061,0.013086936,6.095,0.008087674,0.5178,3,4.701,0.006760264,0.8655,3,1.861,0000,0.004411769,,,,0.0649,0.0109,,,,,,,
 HD 142666,15 56 40,-22 01 40,A5,9.4099998,1.97989674,9.3699999,1.682733215,8.8199997,1.27100062,8.3100004,0.952355394,8.0100002,0.608648184,7.351,0.358028344,6.739,0.223409686,6.077,000,0.136766827,5.221,0.067070643,4.373,0.041449389,5.152,3,1.601,0.034646403,6.578,3,-0.062,0000,0.022610349,,,,1.14,0.313,,,,,,,
 HD 144432,16 06 57,-27 43 09,A9IVe,8.4700003,0.338031469,8.5299997,0.287296185,8.1899996,0.21700031,7.8200002,0.162597415,7.5300002,0.103915641,7.095,0.061126848,6.538,0.038143153,5.888,000,0.023350456,5.359,0.011451096,4.571,0.007076732, ,0,1.792,0.005915245,7.326,3,0.051,0hp0 ,0.003860307,,,,,0.129,,,,,,,
 HD 144668,16 08 34,-39 06 18,A7IVe,7.6599998,0.820930736,7.4099998,0.697716901,7.0500002,0.526998936,6.9200001,0.394878076,,0.252365688,5.907,0.148450404,5.22,0.092633052,4.386,000,0.056708054,2.438,0.027809709,1.104,0.017186289,16.82,3,0.706,0.014365546, ,0,-0.552,HHHH ,0.009374999,16.8,14.2,58.8,,0.064,,,,0.04,,,
 Hen 3-1191  ,16 27 15,-48 39 26,B0:[e],,0.869222535,13.26,0.738760563,13.38,0.558,11.42,0.418107042,,0.267211268,10.086,0.157183099,8.127,0.098082254,6.304,000,0.060043944,4.146,0.029445634,2.711,0.018197284,19.709999,3,0.56,0.015210608,14.84,3,-0.655,HHHH ,0.00992649,,,,,,,,,,,,
 V921 Sco   ,16 59 06,-42 42 08,B0IVe,12.16,7.629840964,12.28,6.48467496,11,4.897999172,,3.670050084,,2.34552073,7.235,1.379718077,5.918,0.86094408,4.52,0d0 ,0.527052305,-0.125,0.258467186,-0.968,0.159731686,131.899994,3,-1.622,0.133515318,136.5,3,-4.511,HHHH ,0.087132508,288,,,,,,,,0.27,,,
 MWC 300       ,18 29 25,-06 04 37,B1Iae,12.55,6.422587259,12.67,5.458618466,11.6,4.122999054,,3.08934577,,1.974393913,9.309,1.161408184,8.159,0.724718707,6.208,000,0.443657926,3.506,0.217570467,-0.09,0.134457677,77.559998,3,-0.765,0.11238947,95.940002,3,-2.693,HHHH ,0.073345714,,,,,,,,,,,,
 HD 179218,19 11 11,+15 47 15,A0Ve,7.5500002,0.415295045,7.4759998,0.352963239,7.3899999,0.266599894,7.25,0.199762174,7.21,0.127667555,6.994,0.075098562,6.645,0.046861502,5.995,000,0.028687651,4.841,0.014068464,3.872,0.008694254,14.74,3,0.299,0.007267288,27.879999,3,-1.614,hhhh ,0.004742654,,,,,,,,,,,,
 HD 190073,20 03 02,+05 44 16,A2IVe,7.9099998,0.338031539,7.8600001,0.287296244,7.73,0.217000355,7.8000002,0.162597449,7.6500001,0.103915663,7.194,0.06112686,6.647,0.038143161,5.855,000,0.023350461,4.724,0.011451099,3.705,0.007076733,5.734,3,1.746,0.005915246,4.457,3,0.596,0h00 ,0.003860308,,,,,,,,,,,,
 Par 22     ,05 28 56, -06 31 36 ,-,,99.99,13.5,99.99,13.3,99.99,,99.99,,99.99,11.712,99.99,11.385,99.99,11.338,000,99.99,11.256,99.99,11.325,99.99,      null|, null,11.398,99.99,      null|,null,8.912,0000,99.99,,,,,,,,,,,,
 PV Cep     ,20 45 53,+67 57 38,A5,,8.064460153,19.27,6.854061974,17.459999,5.177004257,15.98,3.879107415,14.6,2.479128799,12.453,1.458311058,9.497,0.9099861,7.291,000,0.557074824,5.344,0.273190272,3.61,0.168830494,9.405,3,0.785,0.141120761,20.65,3,-1.225,HHHH ,0.092095843,,,,6.55,1,,,,,,,
 HD 203024  ,21 16 03,+68 54 52,A0,,0.734010141,9.015,0.623842254,8.863,0.4712,8.77,0.353068169,,0.22564507,8.377,0.132732394,8.209,0.082825014,8.12,000,0.050703775,7.607,0.024865202,6.847,0.015366595,2.118,3,2.408,0.012844514,6.987,3,-0.055,0000,0.008382369,,,,,,,,,,,,
 V373 Cep     ,21 43 06,+66 06 54,B8,13.65,4.684143662,13.61,3.981098592,12.73,3.007,11.98,2.253132394,11.2,1.439971831,9.528,0.847042254,8.201,0.528554366,7.081,000,0.323570141,4.688,0.158679249,2.903,0.09806314,5.844,3,1.32,0.081968279,18.719999,3,-1.749,hhdh ,0.053492751,75.5,592,,43.53,8.69,,,,0.92E,,,
 V375 Lac   ,22 34 41,+40 40 04,A4,15.09,3.525180282,14.41,2.996084507,13.56,2.263,12.64,1.695656338,12.11,1.083690141,11.294,0.637464789,10.307,0.397778028,8.921,000,0.243511549,6.547,0.119418404,5.031,0.073800095,2.371,3,2.233,0.061687468,10.22,3,-0.655,0000,0.040257431,21.4,30.4,63.2,,,,,,0.04,,,
 HD 216629,22 53 15,+62 08 44,B3IVe+A3,9.8299999,3.718340477,9.8900003,3.160253208,9.3100004,2.386999763,,1.788568837,,1.143070309,7.547,0.6723943,7.293,0.419574043,7.096,000,0.256854622,5.834,0.125961865,5.082,0.077843929,1.939,3,2.933,0.065067596,1.988,3,1.355,ddhh ,0.042463314,,,,,,,,,,,,
 BHJ 71     ,23 05 07,+62 15 36,B5Vep,10.09,3.573472265,11.5,3.037128326,10.9,2.294001183,,1.718885393,,1.098535778,7.939,0.646197516,7.52,0.40322725,7.091,000,0.246847451,6.97,0.121054335,6.623,0.074811094,0.3227,3,5.581,0.062532534,0.2274,3,3.904,000d ,0.040808924,,,,,,,,,,,,
HD 35187,05 24 01,+24 57 37,A2e+A7,,0.806445352,8.742,0.685405634,8.515,0.5177,8.39,0.387910423,,0.247912676,6.953,0.145830986,6.48,0.090998535,5.911,000,0.055707437,5.222,0.027319005,4.623,0.016883036,      null|, null,2.56,0.014112065,      null|,null,0.274,0000,0.009209577,,,,,,,,,,,,
HD 100453,11 33 05, -54 19 28,A9Ve,,0.033803099,8.072,0.028729577,7.795,0.0217,7.63,0.016259718,,0.010391549,6.945,0.006112676,6.39,0.00381431,5.6,000,0.002335042,4.709,0.001145108,3.666,0.000707672,5.518,3,1.35,0.000591524,18.74,3,-1.346,hhhh,0.00038603,,,,,,,,,,,,
CPD-36 6759,15 15 48,-37 09 16,A0V,,2.42416507,9.21,2.060321127,8.708,1.5562,8.7,1.166054085,,0.745222535,7.279,0.438366197,6.587,0.273540507,5.843,000,0.167455887,4.964,0.082120601,4.208,0.050750203,1.727,3,3.774,0.042420697,3.285,3,0.429,hh0h,0.027683877,,,,0.37,2.52,,,,,,,
HD 139614,15 40 46,-42 29 53,A7Ve,,0.125554366,8.465,0.106709859,8.249,0.0806,8.41,0.060393239,,0.038597183,7.669,0.022704225,7.333,0.014167437,6.748,000,0.008673014,5.892,0.004253258,5.222,0.002628497,2.386,3,2.047,0.002197088,10.57,3,-0.667,0000,0.001433826,,,,,,,,,,,,
HD 142527,15 56 41,-42 19 23,F6III,,0.994776901,9.014,0.845470423,8.348,0.6386,7.91,0.478500282,,0.305808451,6.503,0.179887324,5.715,0.11224969,4.98,000,0.068716958,4.28,0.033698892,3.343,0.02082578,9.095,3,1.276,0.017407696,11.1,3,-0.785,HHHH,0.011360316,,,,,,,,,,,,
HD 169142,18 24 29,-29 46 49,A7,,0.280082817,8.411,0.23804507,8.163,0.1798,8,0.13472338,,0.086101408,7.31,0.050647887,6.911,0.031604282,6.41,000,0.019347493,6.203,0.009488038,5.65,0.005863569,      null|, null,2.697,0.004901196,8.896,3,-0.632,hhhh,0.003198536,18.4,29.6,23.4,2,0.4,,,,,,,
v751 cyg,20 52 12,+44 19 26,A0e,,1.110673239,14.24,0.943971831,14.01,0.713,13.95,0.534247887,,0.34143662,13.622,0.20084507,13.429,0.125327324,13.237,000,0.076722817,12.804,0.037624977,12.584,0.023252085,      null|,null,11.022,0.019435777,      null|,null,8.56,dd00 ,0.012683848,,,,,,,,,,,,
Brun 216,05 34 14,-05 36 54,F8,11.081,-0.202818592,10.697,-0.172377465,10.219,-0.1302,,-0.09755831,9.425,-0.062349296,8.993,-0.036676056,8.628,-0.022885859,8.279,000,-0.014010254,7.611,-0.006870648,7.102,-0.004246033,0.9096,3,3.88,-0.003549142,1.361,3,1.781,hhdD,-0.002316181,,,,,,,,,,,,
AE Lep,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW Cma,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 244314,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 249879,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 287823,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 290409,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 290500,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 290764,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 290770,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 36408,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 38120,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS 05044-0325,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS 06071+2925,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS 07061-0414,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS 17481-1415,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS 18306-0500,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS 18454+0250,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS 19343+2926,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWC 610,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWC 778,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UY Ori,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1185 Tau,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1818 Ori,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V374 Cep,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V718 Sco,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V791 Mon,,,Cauley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
