MAIN_ID,RA,DEC,SP_TYPE,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,2MASS_FLAG,A_K,W1,A_W1,W2,A_W2,F9,F9_FLAG,W3,A_W3,F18,F18_FLAG,W4,WISE_FLAG,A_W4,25,60,100,450,850,890,1300,2600,2700,7000,13000,36000
 hd 163296,17 56 21,-21 57 21,A1Vep,7,0.241450336,6.9299998,0.205210954,6.8499999,0.154999763,6.8600001,0.116140668,6.6700001,0.074225239,6.195,0.043661905,5.531,0.027245029,4.779,000,0.016678848,3.737,0.00817933,2.918,0.005054793,15.020001,3,0.638,0.004225163, ,0,-0.764,hhhh ,0.002757354,24.2,30,32.4,5.72,1.45667,,0.6005,,,,,
 hd 200775,21 01 36,+68 09 47,B3,7.39,2.84911831,7.77,2.421492958,7.37,1.829,6.84,1.370461972,6.35,0.875859155,6.111,0.515211268,5.465,0.321491831,4.651,000,0.196810704,3.35,0.096516244,1.235,0.059646652,11.31,3,1.03,0.049856994, ,0,-2.016,HHHH ,0.032536828,89.2,652,,,,,0.02,,,,,
 hd 250550,06 01 59,+16 30 56,B9e,9.34,0.627771831,9.61,0.533549296,9.54,0.403,9.32,0.301966197,9.24,0.192985915,8.475,0.113521127,7.528,0.070837183,6.635,000,0.04336507,5.649,0.021266291,4.809,0.013142483,2.973,3,2.374,0.010985439,6.514,3,0.051,0000,0.007169132,11.3,7.9,11.7,,,,0.04,,,,,
 hd 259431,06 33 05,+10 19 19,B2,8.3900003,2.173053924,8.9499998,1.846899356,8.7200003,1.39499845,8.8999996,1.045266444,,0.668027427,7.454,0.39295731,6.666,0.245205361,5.726,000,0.150109692,4.456,0.073614003,3.13,0.045493159,11.49,3,1.444,0.038026479,11.8,3,-0.499,hdhh ,0.024816197,23.5,114,176,,,,,,,,,
 hk ori,05 31 28,+12 09 10,A2?e+G0?e,12.27,2.221346479,12.23,1.887943662,11.71,1.426,11.01,1.068495775,10.72,0.682873239,9.408,0.401690141,8.311,0.250654648,7.341,000,0.153445634,6.163,0.075249953,5.033,0.04650417,2.708,3,2.529,0.038871555,2.882,3,0.897,HHHH ,0.025367696,4.7,,,,,,0.1,,,,,
 AS 220,17 10 08,-27 15 18,A5,12.58,2.511087324,12.11,2.134197183,11.45,1.612,10.61,1.207864789,9.88,0.771943662,9.072,0.454084507,7.233,0.283348732,5.795,000,0.173460282,4.441,0.085065164,3.504,0.052569931,9.1,3,1.379,0.043941758,8.276,3,-0.01,0h0h ,0.028676526,11.1,6.7,,,0.091,,0.05,,,,,
 lkh 112,18 04 22,-24 22 09,B2Ve,9.4099998,1.868827566,10.183,1.58833446,10.016,1.199699432,,0.898929716,9.6239996,0.574503954,9.085,0.337943502,8.862,0.210876745,8.562,000,0.129094418,7.513,0.063308083,6.995,0.039124142,      null|, null,4.593,0.032702793,      null|,null,0.773,dddd ,0.021341943,,,,,,,,,,,,
 lkh 115,18 04 50,-24 25 41,B7e,,2.612495441,12.38,2.220384913,11.949,1.677099243,,1.256643377,11.198,0.803117947,10.453,0.472422322,10.162,0.294791529,9.728,0c0,0.180465327,9.162,0.088500448,8.533,0.054692923,      null|, null,4.683,0.045716308,      null|,null,1.16,dDdd ,0.029834603,,,,,,,,,,,,
 lkh 118,18 05 49,-24 15 20,B1,11.85,5.456785915,12.07,4.637774648,11.2,3.503,10.18,2.624783099,9.47,1.677492958,8.721,0.986760563,8.248,0.615738592,7.9,000,0.376942535,7.349,0.184853146,7.09,0.114238504,      null|, null,6.607,0.09548882,      null|,null,5.475,hhh0 ,0.062316298,,,,,,,,,,,,
 lkh 119,18 05 56,-24 16 00,B1Ve,,12.43470924,13,10.56837856,10.685,7.982498699,17.299999,5.981252546,,3.822605011,9.859,2.248591183,9.454,1.403120898,9.214,000,0.858961832,8.665,0.421236082,8.384,0.260322212,      null|, null,7.74,0.217596169,      null|,null,7.993,hhhd ,0.14200393,,,,,,,,,,,,
 lkh 131,20 46 36,+43 44 35,Be,,5.69823662,14.5,4.842985915,13.46,3.658,13.9,2.740923944,,1.75171831,11.153,1.030422535,10.738,0.642983662,10.382,000,0.393621408,10.48,0.193032488,10.214,0.119293305,      null|, null,8.896,0.099713989,      null|,null,7.049,0ddH ,0.065073656,,,,,,,,,,,,
 lkh 132,20 46 41,+43 46 48,B4,,4.973884598,16,4.227352113,15.13,3.193,15.3,2.392501408,,1.529042254,12.6,0.89943662,12.202,0.561248451,11.945,000,0.343584789,11.723,0.16849446,11.588,0.104128902,      null|, null,11.278,0.087038482,      null|,null,8.736,00DH ,0.056801581,,,,,,,,,,,,
 lkh 134,20 48 04,+43 47 25,B3,,2.607667606,11.77,2.21628169,11.42,1.674,,1.254321127,,0.801633803,9.457,0.471549296,8.867,0.294246761,8.24,0s0 ,0.180131831,7.169,0.088336901,6.554,0.054591851,3.444,3,  null ,0.045631825,10.64,3,-0.619,hhhh ,0.02977947,,,,,,,,,,,,
 lkh 135,20 48 20,+43 39 48,B7e,,2.945698592,11.6,2.503577465,11.1,1.891,,1.41691831,,0.905549296,8.717,0.532676056,7.745,0.332389859,6.782,000,0.203482254,5.395,0.099787981,4.401,0.061668573,3.353,3,2.499,0.051547062,3.465,3,0.821,0hoo ,0.033639771,,,,,,,,,,,,
 lkh 147,20 51 02,+43 49 31,B2e,,8.383172061,15.869,7.12493828,14.353,5.381602318,,4.032411878,12.147,2.577105335,10.565,1.515944315,9.997,0.945949252,9.483,000,0.579090728,8.959,0.283986902,8.567,0.175502768,      null|, null,7.625,0.146697931,      null|,null,6.382,0000,0.095735522,,,,,,,,,,,,
 lkh 167,20 52 04,+44 37 30,A1/9e,17,9.175126761,17.27,7.798028169,15.34,5.89,13.49,4.413352113,,2.82056338,10.234,1.65915493,9.059,1.035312676,8.12,000,0.633797183,6.482,0.310815023,5.646,0.19208244,1.578,3,3.329,0.160556423,1.401,3,1.84,0h00 ,0.104779616,,,,,,,,,,,,
 lkh 168,20 52 06,+44 17 16,F6III,15.78,3.621760563,14.73,3.078169014,13.48,2.325,12.27,1.742112676,,1.113380282,10.265,0.654929577,9.229,0.408676056,8.338,000,0.250183099,6.904,0.122690141,6.221,0.075822016,1.021,3,3.733,0.063377535,1.307,3,1.726,0h00 ,0.041360375,,,,,,,,,,,,
 lkh 169,20 52 07,+44 03 44,B3V(e),,4.780724865,11.1,4.063183881,10.3,3.069000591,,2.299589175,,1.469662255,8.901,0.864507209,8.698,0.539452498,8.623,000,0.330241754,8.549,0.161951017,8.545,0.10008508,      null|, null,7.871,0.083658363,      null|,null,4.393,0h00 ,0.054595705,,,,,,,,,,,,
 lkh 176,20 52 58,+44 15 03,B5ne,,4.40405775,12.872,3.743050891,12.1,2.827198013,,2.118407525,10.992,1.353869471,10.216,0.796393807,9.942,0.496949735,9.664,000,0.304222434,9.129,0.149191106,8.746,0.092199506,      null|, null,7.643,0.077067029,      null|,null,6.773,0h00 ,0.05029418,,,,,,,,,,,,
 lkh 183,20 55 10,+45 03 02,B1:Ve,,4.442692958,12.77,3.775887324,12.11,2.852,11.16,2.136991549,,1.365746479,10.303,0.803380282,9.989,0.501309296,9.711,000,0.306891268,9.298,0.150499906,8.982,0.093008339,      null|, null,8.028,0.07774311,      null|,null,6.159,0000,0.050735393,,,,,,,,,,,,
 lkh 192,20 59 17,+44 17 46,B0e,,8.214152958,15.617,6.981287324,14.216,5.2731,16.5,3.951111549,12.176,2.525146479,10.393,1.485380282,9.7,0.926877296,9.084,sss ,0.567415268,8.459,0.278261239,8.141,0.171964332,0.05721,3,7.372,0.14374025, ,0,5.908,0d00 ,0.09380533,,,,,,,,,,,,
 lkh 193,20 59 31,+44 35 44,Be,,2.221346479,13.99,1.887943662,13.67,1.426,11.74,1.068495775,,0.401690141,11.971,0.250654648,11.648,0.153445634,11.42,000,0.075249953,11.034,0.04650417,10.777,0.038871555,      null|, null,10.446,0.025367696,      null|,null,8.825,0o00 ,0.047426578,,,,,,,,,,,,
 lkh 194,21 01 40,+44 19 44,B3e,,2.317926761,14.03,1.970028169,13.74,1.488,12.81,1.114952113,,0.71256338,12.01,0.41915493,11.716,0.261552676,11.402,000,0.160117183,10.753,0.07852169,10.432,0.04852609,      null|, null,9.499,0.040561623,      null|,null,8.646,dd00 ,0.02647064,,,,,,,,,,,,
 lkh 198,00 11 25,+58 49 28,B9e,15.54,4.925594366,15.14,4.186309859,14.18,3.162,12.94,2.369273239,11.79,1.514197183,9.988,0.890704225,7.889,0.557994366,6.29,000,0.340249014,4.677,0.166858592,3.304,0.103117942,9.475,3,0.627,0.086193448,29.860001,3,-2.249,HHHH ,0.05625011,101,140,207,0.22,,,0.4E,,0.024,,,
 lkh 201,00 43 25,+61 38 23,B2e,15.01,6.905490141,14.85,5.869042254,13.64,4.433,12.39,3.321628169,,2.12284507,10.716,1.248732394,10.285,0.779209014,9.849,000,0.477015775,9.317,0.233929202,8.934,0.14456731,      null|, null,8.083,0.120839834,      null|,null,7.352,0000,0.078860448,,,,,,,,,,,,
 lkh 208,06 07 49,+18 39 26,A4,12.38,1.448704225,12.07,1.231267606,11.65,0.93,11.33,0.69684507,11.02,0.445352113,10.254,0.261971831,9.834,0.163470423,9.245,000,0.100073239,7.915,0.049076056,6.571,0.030328806,3.093,3,2.524,0.025351014, ,0,0.766,0000,0.01654415,4.5,5.9,26.2,,,,,,,,,
 lkh 215,06 32 41,+10 09 33,B6e,11.11,3.138859155,11.06,2.667746479,10.54,2.015,9.86,1.509830986,9.27,0.964929577,8.598,0.567605634,7.821,0.354185915,7.034,000,0.216825352,5.426,0.106331455,4.727,0.065712414,17.940001,3,2.966,0.054927197,13.67,3,0.657,HHHH ,0.035845658,8.2,86.9,315,,,,,,,,,
 lkh 218,07 02 42,-11 26 11,A0e,12.55,2.028185915,12.29,1.723774648,11.87,1.302,11.38,0.975583099,11.09,0.623492958,10.255,0.366760563,9.419,0.228858592,8.577,000,0.140102535,7.297,0.068706479,6.39,0.042460329,0.8827,3,3.905,0.03549142,0.9215,3,2.22,0h00 ,0.02316181,,,,,,,,,,,,
 lkh 220,07 04 06,-11 26 08,B8e,12,1.786735211,12.09,1.51856338,11.81,1.147,11.41,0.859442254,10.91,0.549267606,10.763,0.323098592,10.022,0.201613521,9.116,000,0.123423662,7.884,0.060527136,7.08,0.037405528,0.8885,3,3.907,0.031266251,1.107,3,2.054,0hhh ,0.020404451,,,,,,,,,,,,
 lkh 257,21 54 18,+47 12 09,B5/A2e,,2.173056338,13.3,1.846901408,12.99,1.395,12.61,1.045267606,,0.668028169,11.278,0.392957746,10.494,0.245205634,9.725,000,0.150109859,8.867,0.073614085,8.345,0.04549321,0.09002,3,6.329,0.038026521,0.3178,3,3.065,HHd0 ,0.024816225,,,,,,,,,,,,
 lkh 259,23 58 41,+66 26 12,A9e,16.75,6.084557746,16.55,5.171323944,15.02,3.906,13.34,2.926749296,,1.870478873,10.692,1.10028169,9.889,0.686575775,9.265,000,0.420307606,7.99,0.206119437,7.066,0.127380987,9.892,3,3.197,0.106474259,10.26,3,0.227,0hhh ,0.069485429,,,,,,,,,,,,
 lkh 324,21 03 54,+50 15 09,B8,14.4,5.843107042,13.77,4.966112676,12.65,3.751,11.57,2.810608451,10.76,1.796253521,10.02,1.056619718,9.815,0.659330704,9.574,00c ,0.403628732,8.743,0.197940094,8.177,0.122326186,7.476,3,4.177,0.10224909, ,0,1.968,hhdd ,0.066728071,,,,,,,,,,,,
 lkh 339,06 10 57,-06 14 39,A1e,14.75,4.056371831,14.53,3.447549296,13.66,2.604,12.77,1.951166197,12.11,1.246985915,11.386,0.733521127,10.64,0.457771718,9.725,000,0.28020507,8.171,0.137412958,7.256,0.084920658,1.415,3,3.712,0.070982839,2.047,3,1.58,hhhd ,0.04632362,,,,,,,,,,,,
 lkh 341,06 30 50,+10 33 09,F3e,14.28,2.84911831,14.35,2.421492958,13.39,1.829,12.43,1.370461972,,0.875859155,9.374,0.515211268,8.439,0.321491831,8.071,000,0.196810704,7.78,0.096516244,7.624,0.059646652,      null|, null,7.34,0.049856994,      null|,null,6.926,0000,0.032536828,,,,,,,,,,,,
 lkh 350,22 49 07,+62 11 08,B8e,16.42,9.754608451,15.97,8.290535211,14.04,6.262,,4.692090141,,2.998704225,9.578,1.763943662,8.869,1.100700845,8.316,000,0.673826479,7.777,0.330445446,7.432,0.204213963,0.1235,3,6.748,0.170696828, ,0,6.391,hh00 ,0.111397276,,,,,,,,,,,,
 HBC 1,00 07 02,+65 38 38,F4?,17.34,0.57948169,17.27,0.492507042,16.76,0.372,16.57,0.278738028,,0.178140845,10.907,0.104788732,8.902,0.065388169,7.263,000,0.040029296,5.507,0.019630423,4.306,0.012131523,3.402,3,1.985,0.010140406,7.517,3,-0.225,hh0h ,0.00661766,,,,,,,,,,,,
 mwc 137,06 18 45,+15 16 52,B0e,12.75,7.774712676,13.31,6.607802817,12,4.991,10.2,3.739735211,9.21,2.390056338,8.762,1.405915493,7.84,0.877291268,6.623,000,0.537059718,4.737,0.263374836,3.655,0.162764594, ,0,1.839,0.136050442,20.4,3,-0.385,hhhd ,0.088786938,25.7,245,519,,,,0.19,,0.0057,,,
